well_sample,temp_measured,pH,Na ,K,Ca,Mg,Cl,SO4
K-20,290,7.55,205.5,43.0,0.8,0.0073,155.3,74.0
K-17,280,8.89,112.4,20.3,0.0,0.0024,16.7,92.2
K-5,215,9.67,195.2,18.0,4.4,0.0097,28.4,261.3
K-11,240,9.65,223.0,31.3,2.0,0.0024,42.2,224.8
K-13,230,8.16,273.8,30.1,5.2,0.0024,22.0,524.5
K-24,190,9.73,217.9,17.2,3.6,0.0049,30.5,316.1
K-27,240,9.34,159.8,25.8,2.0,0.0049,26.6,201.7
K-28,240,9.55,226.7,25.4,3.6,0.0024,25.5,343.9
K-9,215,9.42,221.6,26.2,3.2,0.0024,23.4,307.4
N-4,280,9.6,158.6,19.9,3.6,0.0,40.1,137.4
Reykjanes_W-15,260,5.2,9903.0,1314.0,1548.0,1.05,20534.0,24.3
Tongonan_W-510,251,6.3,5105.0,994.0,285.0,0.14,9074.0,20.5
Momtombo_W-3,248,8.1,1764.0,277.0,68.4,0.2,3026.0,137.6
Zunil_W-3,292,8.1,860.0,175.4,10.8,0.19,1377.0,27.0
Mahanagdong_W-9,278,3.1,3117.0,950.0,82.0,25.0,6175.0,508.0
Wairakei_W-24,248,7.7,1256.0,200.0,26.7,0.02,2183.0,34.2
Broadlas_W-28,284,8.1,910.0,155.0,1.3,0.01,1414.0,30.0
Olkaria_W-2,251,9.1,557.0,92.0,0.73,0.01,764.0,28.0
Olkaria_W-301,262,8.7,1283.0,208.0,0.6,0.07,240.0,112.0
Krafla_W-20,280,7.5,214.4,43.8,0.8,0.049,113.1,8.6
Námafjall_W-11,260,8.4,100.5,15.6,0.4,0.002,28.7,20.2
Klausturhólar_1,103,6.63,185.4,13.1,24.2,5.65,107.7,83.1
Árbaer_1,86,9.51,62.6,1.62,1.54,0.042,24.0,28.2
Selfoss_9,70,8.54,159.6,4.58,30.3,0.15,246.7,53.5
Reykir_17,76,9.57,34.0,0.74,2.34,0.079,14.2,12.7
Reykir_5,81,9.42,42.1,1.08,2.08,0.06,10.5,17.1
Reykjavik_30,100,9.63,41.6,1.71,2.03,0.075,18.4,23.3
Reykjavic_11,129,9.44,57.1,2.6,2.56,0.024,36.4,19.4
Seltjarnarnes_4,114,8.62,355.5,10.0,139.0,0.1,670.8,204.8
Spóastadir_1,76,9.06,77.6,2.29,3.68,0.007,48.7,55.5
Oxnalaekur_1,157,6.86,159.0,10.1,8.37,0.03,152.2,58.2
Bakki_1,134,8.36,387.5,19.6,67.1,0.072,658.5,122.5
Laugarbakkar_1,87,9.06,141.4,4.2,23.7,0.07,139.5,144.9
Saudárktókur_1,68,9.76,53.2,0.94,2.88,0.024,20.7,42.2
Siglufjordur_7,68,9.82,43.0,0.82,1.56,0.064,9.6,10.9
Laugala_7,93,9.68,51.0,1.46,2.88,0.064,11.3,38.9
Tjarnir_4,66,9.7,51.5,1.26,2.36,0.002,18.8,34.3
Urridavatn_3,39,9.99,63.4,0.85,4.92,0.008,42.2,47.5
Leirá_4,128,6.94,244.2,27.6,15.4,0.66,263.8,55.5
Saelingsdalur_10,61,9.78,48.7,0.93,3.24,0.002,10.6,53.5
Lýsuhóll_6,60,6.88,485.8,36.5,79.9,20.84,69.5,43.1
RN-12 DH,296,7.2824,9035.07,1485.8,1884.0,9.4809,18575.8,137.8
RN-21 DH,284,7.2824,9127.03,1603.1,1764.0,4.1327,18717.6,137.8
RN-19 DH (Donwhole),285,7.2824,8943.11,1485.8,1683.0,1.9448,18114.95,137.8
RN-19 SF (Surface),275,5.9,9931.68,899.3,641.0,0.0,17335.05,137.8
GB3 Saulgau,44,7.11,10.1,2.25,60.0,27.6,2.6,11.36
TB1 Saulgau,44,7.3,12.6,1.88,58.0,28.2,4.25,12.1
GB1 Buchau,48,6.96,21.4,3.25,48.0,23.7,4.77,2.66
Donautherme Neu-Ulm,47,6.62,2020.0,113.0,418.0,40.0,920.0,3720.0
HC1,86,6.9,18469.0,1795.0,1732.0,146.0,32912.0,623.0
GB1 Tuttlingen,47,7.0,5.7,8.5,218.0,49.6,5.9,591.0
HC2,65,7.4,7505.0,391.0,835.0,144.0,11682.0,2062.0
HC3,62,6.9,4024.0,136.0,611.0,122.0,5867.0,885.0
HC6,88,6.5,13472.0,808.0,1504.0,447.0,20590.0,1185.0
HC7,51,7.7,4271.0,162.0,1066.0,195.0,4085.0,5727.0
HC8,59,10.7,2150.0,140.6,591.0,652.2,1740.0,137.8
HC9,88,7.2824,14230.0,5493.0,2307.0,113.0,29260.0,1140.0
HC10,79,7.2,18550.0,1030.0,1411.0,138.6,31510.0,988.0
HC11,79,6.7,17918.0,1655.0,1346.0,330.0,32266.0,1288.0
HC12,98,6.3,18416.0,777.0,1763.0,267.0,31840.0,1507.0
HC14,87,6.82,18700.0,1140.0,884.0,351.42,30844.0,1852.0
HC15,94,6.54,21770.0,1993.0,790.0,115.0,33330.0,2065.0
HC16,93,7.0,21623.0,1090.0,1600.0,245.0,36200.0,1470.0
HC17,93,7.3,18683.0,1050.0,760.0,194.0,28700.0,2600.0
HC18,87,7.5,12400.0,677.0,920.0,185.0,20550.0,1516.0
HC19,67,6.43,20550.0,2218.0,1075.0,195.0,31940.0,1280.0
HC21,89,6.3,19978.0,1292.0,1651.0,409.0,35244.0,1035.0
HC22,89,6.4,18678.0,1169.0,1202.0,292.0,31415.0,1186.0
HC23,94,6.3,23251.0,356.0,681.0,146.0,34322.0,2329.0
HC25,64,6.5,6248.0,422.0,653.0,85.0,9799.0,1012.0
HC27,97,5.5,16712.0,460.0,6308.0,4.1327,43553.0,1214.0
WE1,50,6.81,139.3,25.1,579.0,149.2,53.0,1990.0
BE1,46,8.2,59.0,11.0,448.0,120.0,75.2,1300.0
PV1,236,9.41,1240.0,181.0,0.78,0.007,1690.0,170.0
CL1,232,5.94,2160.0,354.0,0.8,0.18,2643.0,126.0
CL2,233,5.95,1907.0,291.0,0.63,0.03,1672.0,138.0
CL3,247,5.95,1593.0,273.0,2.94,0.01,2243.0,146.0
CL4,241,5.74,1368.0,198.0,2.84,0.0,2179.0,168.0
PGM-3,240,7.55,3070.0,312.0,56.2,0.68,6464.0,0.0
PGM-10,240,7.4,3060.0,320.0,64.0,0.52,6280.0,0.14
PGM-12,240,7.3,2980.0,295.0,61.0,0.53,6210.0,0.08
PGM-2,240,7.5,3010.0,305.0,62.0,0.51,6150.0,0.08
PGM-01,240,7.61,2160.0,262.0,58.0,0.04,3610.0,41.0
PGM-03,255,7.32,2130.0,252.0,67.0,0.04,3540.0,37.0
PGM-05,240,6.82,2140.0,253.0,90.0,0.66,3590.0,41.0
PGM-10,235,7.23,2102.0,258.0,76.0,0.02,3542.0,31.0
PGM-11,240,6.98,1959.0,221.0,54.0,0.04,3204.0,30.0
PGM-12,235,7.92,2206.0,259.0,76.0,0.15,3670.0,49.0
PGM-17,240,7.22,1973.0,235.0,56.0,0.04,3335.0,34.0
PGM-20,235,7.37,2071.0,240.0,74.0,0.1,3421.0,45.0
PGM-21,240,7.3,2082.0,236.0,68.0,0.08,3402.0,45.0
PGM-31,240,7.52,2011.0,236.0,69.0,0.08,3402.0,45.0
RR653,140,8.42,328.0,25.0,10.4,0.07,267.0,86.0
RR738,121,7.96,413.0,37.0,14.9,0.15,345.0,92.0
RR741,123,7.44,389.0,31.0,12.4,0.12,310.0,222.0
RR865,130,8.35,473.0,41.0,3.3,0.05,383.0,64.0
1016,135,7.77,577.0,54.0,17.0,0.09,581.0,118.0
RR885,161,8.63,514.0,31.0,0.89,15.0,439.0,83.0
RR887,149,7.88,504.0,58.0,9.9,14.0,386.0,49.0
RR913,153,9.06,289.0,31.0,0.83,11.0,304.0,23.0
RR601A,153,8.44,302.0,27.0,4.9,0.04,242.0,87.0
M25,211,7.58,950.0,125.0,16.7,0.02,1427.0,35.0
