well_sample,temp_measured,pH,Na ,K,Ca,Mg,Cl,SO4
Seltjarnarnes_4,114,"8,62","355,5",10,139,"0,1","670,8","204,8"
Spóastadir_1,76,"9,06","77,6","2,29","3,68","0,007","48,7","55,5"
Oxnalaekur_1,157,"6,86",159,"10,1","8,37","0,03","152,2","58,2"
Bakki_1,134,"8,36","387,5","19,6","67,1","0,072","658,5","122,5"
Laugarbakkar_1,87,"9,06","141,4","4,2","23,7","0,07","139,5","144,9"
Saudárktókur_1,68,"9,76","53,2","0,94","2,88","0,024","20,7","42,2"
Siglufjordur_7,68,"9,82",43,"0,82","1,56","0,064","9,6","10,9"
Laugala_7,93,"9,68",51,"1,46","2,88","0,064","11,3","38,9"
Tjarnir_4,66,"9,70","51,5","1,26","2,36","0,002","18,8","34,3"
Urridavatn_3,39,"9,99","63,4","0,85","4,92","0,008","42,2","47,5"
Leirá_4,128,"6,94","244,2","27,6","15,4","0,66","263,8","55,5"
Saelingsdalur_10,61,"9,78","48,7","0,93","3,24","0,002","10,6","53,5"
Lýsuhóll_6,60,"6,88","485,8","36,5","79,9","20,84","69,5","43,1"
RN-12 DH,296,,"9035,07","1485,8",1884,"9,4809","18575,8",
RN-21 DH,284,,"9127,03","1603,1",1764,"4,1327","18717,6",
RN-19 DH (Donwhole),285,,"8943,11","1485,8",1683,"1,9448","18114,95",
RN-19 SF (Surface),275,"5,90","9931,68","899,3",641,0,"17335,05",
GB3 Saulgau,44,"7,11","10,1","2,25",60,"27,6","2,6","11,36"
TB1 Saulgau,44,"7,30","12,6","1,88",58,"28,2","4,25","12,1"
GB1 Buchau,48,"6,96","21,4","3,25",48,"23,7","4,77","2,66"
Donautherme Neu-Ulm,47,"6,62",2020,113,418,40,920,3720
HC1,86,"6,90",18469,1795,1732,146,32912,623
GB1 Tuttlingen,47,"7,00","5,7","8,5",218,"49,6","5,9",591
HC2,65,"7,40",7505,391,835,144,11682,2062
HC3,62,"6,90",4024,136,611,122,5867,885
HC6,88,"6,50",13472,808,1504,447,20590,1185
HC7,51,"7,70",4271,162,1066,195,4085,5727
HC8,59,"10,70",2150,"140,6",591,"652,2",1740,
HC9,88,,14230,5493,2307,113,29260,1140
HC10,79,"7,20",18550,1030,1411,"138,6",31510,988
HC11,79,"6,70",17918,1655,1346,330,32266,1288
HC12,98,"6,30",18416,777,1763,267,31840,1507
HC14,87,"6,82",18700,1140,884,"351,42",30844,1852
HC15,94,"6,54",21770,1993,790,115,33330,2065
HC16,93,"7,00",21623,1090,1600,245,36200,1470
HC17,93,"7,30",18683,1050,760,194,28700,2600
HC18,87,"7,50",12400,677,920,185,20550,1516
HC19,67,"6,43",20550,2218,1075,195,31940,1280
HC21,89,"6,30",19978,1292,1651,409,35244,1035
HC22,89,"6,40",18678,1169,1202,292,31415,1186
HC23,94,"6,30",23251,356,681,146,34322,2329
HC25,64,"6,50",6248,422,653,85,9799,1012
HC27,97,"5,50",16712,460,6308,,43553,1214
WE1,50,"6,81","139,3","25,1",579,"149,2",53,1990
BE1,46,"8,20",59,11,448,120,"75,2",1300
PV1,236,"9,41",1240,181,"0,78","0,007",1690,170
CL1,232,"5,94",2160,354,"0,8","0,18",2643,126
CL2,233,"5,95",1907,291,"0,63","0,03",1672,138
CL3,247,"5,95",1593,273,"2,94","0,01",2243,146
CL4,241,"5,74",1368,198,"2,84",0,2179,168
PGM-3,240,"7,55",3070,312,"56,2","0,68",6464,0
PGM-10,240,"7,40",3060,320,64,"0,52",6280,"0,14"
PGM-12,240,"7,30",2980,295,61,"0,53",6210,"0,08"
PGM-2,240,"7,50",3010,305,62,"0,51",6150,"0,08"
PGM-01,240,"7,61",2160,262,58,"0,04",3610,41
PGM-03,255,"7,32",2130,252,67,"0,04",3540,37
PGM-05,240,"6,82",2140,253,90,"0,66",3590,41
PGM-10,235,"7,23",2102,258,76,"0,02",3542,31
PGM-11,240,"6,98",1959,221,54,"0,04",3204,30
PGM-12,235,"7,92",2206,259,76,"0,15",3670,49
PGM-17,240,"7,22",1973,235,56,"0,04",3335,34
PGM-20,235,"7,37",2071,240,74,"0,1",3421,45
PGM-21,240,"7,30",2082,236,68,"0,08",3402,45
PGM-31,240,"7,52",2011,236,69,"0,08",3402,45
RR653,140,"8,42",328,25,"10,4","0,07",267,86
RR738,121,"7,96",413,37,"14,9","0,15",345,92
RR741,123,"7,44",389,31,"12,4","0,12",310,222
RR865,130,"8,35",473,41,"3,3","0,05",383,64
1016,135,"7,77",577,54,17,"0,09",581,118
RR885,161,"8,63",514,31,"0,89",15,439,83
RR887,149,"7,88",504,58,"9,9",14,386,49
RR913,153,"9,06",289,31,"0,83",11,304,23
RR601A,153,"8,44",302,27,"4,9","0,04",242,87
M25,211,"7,58",950,125,"16,7","0,02",1427,35
