name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,ammonia,lithium,silica,TDS,δ18O-H2O,δD-H2O,T_reservoir
El Tatio (Chile),Thermal spring,El Tatio,56,"85,0","7,6","87,0","5380,0","46,0","232,0",n.d.,"3060,0","150,0",n.d.,"27,0","207,0",n.d.,"-6,1","-64,0","172,0"
El Tatio (Chile),Thermal spring,El Tatio,319,"83,0","6,3","65,0","5370,0","22,0","171,0",n.d.,"3000,0","367,0",n.d.,"27,0","149,0",n.d.,"-6,0","-67,0","229,0"
El Tatio (Chile),Thermal spring,El Tatio,65,"86,0","6,7","96,0","5240,0","42,0","225,0",n.d.,"2880,0","145,0",n.d.,"28,0","177,0",n.d.,"-6,5","-67,0","173,0"
El Tatio (Chile),Thermal spring,El Tatio,132,"79,0","6,5","92,0","4970,0","45,0","208,0",n.d.,"2820,0","175,0",n.d.,"27,0","181,0",n.d.,"-6,9","-67,0","184,0"
El Tatio (Chile),Thermal spring,El Tatio,246,"64,0","6,2","168,0","4310,0","46,0","160,0",n.d.,"2360,0","235,0",n.d.,"21,0","161,0",n.d.,"-7,1","-63,0","211,0"
El Tatio (Chile),Thermal spring,El Tatio,7,"84,0","7,3","288,0","4210,0","62,0","147,0",n.d.,"2560,0","230,0",n.d.,"24,0","258,0",n.d.,"-7,2","-66,0","207,0"
El Tatio (Chile),Thermal spring,El Tatio,181,"85,0","6,9","118,0","4010,0","36,0","170,0",n.d.,"2250,0","230,0",n.d.,n.d.,"122,0",n.d.,"-7,0","-64,0","211,0"
El Tatio (Chile),Thermal spring,El Tatio,215,"73,0","6,6","138,0","3120,0","44,0","129,0",n.d.,"1810,0","195,0",n.d.,n.d.,"150,0",n.d.,"-7,5","-61,0","213,0"
El Tatio (Chile),Thermal spring,El Tatio,281,"37,0","3,2","0,0","2790,0","171,0","90,0",n.d.,"1570,0","200,0",n.d.,"16,0","176,0",n.d.,"-7,5","-61,0","224,0"
El Tatio (Chile),Thermal spring,El Tatio,3,"80,0","6,7","242,0","1830,0","78,0","113,0",n.d.,"1080,0","103,0",n.d.,"11,0","218,0",n.d.,"-7,8","-61,0","196,0"
El Tatio (Chile),Thermal spring,El Tatio,255,"40,0","7,2","239,0","1190,0","58,0","48,0",n.d.,"760,0","82,0",n.d.,"8,0","150,0",n.d.,"-8,3","-61,0","205,0"
El Tatio (Chile),Thermal spring,El Tatio,NE,"58,0","6,9","360,0","950,0","30,0","59,0",n.d.,"604,0","68,0",n.d.,"6,0","149,0",n.d.,"-8,4","-62,0","201,0"
El Tatio (Chile),Thermal spring,El Tatio,A9,"55,0","8,2","872,0","760,0","5,0","28,0",n.d.,"540,0","64,0",n.d.,"4,0","188,0",n.d.,"-8,4","-57,0","209,0"
El Tatio (Chile),Bubbling pool,El Tatio,1,"73,6","6,0",n.d.,"7622,0","42,7","259,0","0,4","4338,0","501,0",n.d.,"33,5","169,0","12946,0","-3,9","-67,4","232,0"
El Tatio (Chile),Geyser,El Tatio,2,"73,5","6,4",n.d.,"7810,0","44,2","235,0","0,6","4322,0","477,0",n.d.,"34,3","184,0","13104,0","-4,7","-70,1","228,0"
