name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Baños de Incachule,Thermal spring,Baños de Incachule,981,47.0,6.3,732.0,354.0,62.0,50.0,5.0,460.0,39.0,11.08,120.0,-8.9,-77.0,181.0
Baños de Incachule,Thermal spring,Baños de Incachule,982,46.0,6.5,732.0,354.0,82.0,50.0,5.0,460.0,39.0,11.08,114.0,-8.9,-72.0,181.0
Baños de Incachule,Thermal spring,Baños de Incachule,983,44.0,6.3,732.0,351.0,48.0,50.0,5.0,460.0,39.0,11.08,104.0,-8.9,-77.0,181.0
Baños de Incachule,Thermal spring,Baños de Incachule,984,40.0,6.3,732.0,340.0,40.0,36.0,5.0,460.0,39.0,11.08,120.0,-8.9,-77.0,184.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-19,56.4,7.8,768.0,860.0,221.0,36.0,3.4,814.0,91.6,9.13,116.8,-8.9,-77.0,212.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-20,50.5,7.7,762.0,761.0,218.0,41.0,5.11,750.0,86.5,8.42,99.9,-8.9,-77.0,211.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-21,38.3,7.6,786.0,848.0,255.0,32.0,3.28,845.0,87.2,9.16,125.6,-8.9,-77.0,208.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-22,64.0,7.9,817.0,850.0,251.0,31.0,4.25,856.0,81.3,10.3,160.0,-9.9,-79.7,204.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-23,60.6,7.7,783.0,832.0,245.0,33.0,4.13,825.0,81.8,10.4,144.8,-8.9,-77.0,205.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-24,52.5,8.0,865.0,794.0,246.0,32.0,3.28,840.0,78.2,9.79,133.7,-8.9,-77.0,202.0
